ID,left-hand context (one sentence),SENTENCE,right-hand context (one sentence),SOURCE,PET,PET_LEMMATIZED,LITERAL_TRANSLATION,NON_EUPH_EQUIVALENT,NON_EUPH_EQUIVALENT_TRANSLATION,CATEGORY,LABEL,A,J,U,W,EUPH_STATUS
2412,Świetnie poradzili sobie z tworzeniem eksponatów do Galerii Dowodów na Śmieszność w Rotundzie.,"Przebojem był grosz wyrwany po krakowsku (razem z nawierzchnią), świeżo zerwane ze śmiechu boki (skrawki mięsa na kebab), sposób na utrzymanie miejsca parkingowego (płaska doniczka z kwiatkami) oraz nadziany groszami ""obwarzanek dusigrosza"".","Najlepszy czas (3:07) uzyskali Recydywiści (Mateusz Zając, Karol Baranowski, Dawid Starkowski) i to oni zgarnęli 900 zł.",KWJP,nadziany,nadziany,stuffed,-,-,money,0.0,0,0,0,X,sometimes_euph
2413,Na Klarze nigdy w życiu nic tak nie leżało.,"Przemknęło jej teraz przez myśl, że w jednym z robionych przez nią ogromnych dzianych płaszczy-gobelinów ta starsza dama wyglądałaby olśniewająco… z taką figurą, takim wzrostem…",– Jestem Liza Kózka.,KWJP,dzianych,dziany,knitted,-,-,money,0.0,0,0,0,X,sometimes_euph
2414,Wątłe i chude jak miotły.,Przerażająca jest myśl o wymianie starych akacji wzdłuż Pięknej na te rachityczne patyki.,Ulica będzie wyglądać potwornie.,KWJP,patyki,patyk,stick,-,-,money,0.0,0,0,0,X,sometimes_euph
2415,— W porządku.,Prześpię się z tym jeszcze i jutro podejmę decyzję.,Wyskoczymy dziś wieczorem na piwo?,KWJP,prześpię się z,przespać się z,to sleep with,-,-,sex,0.0,0,0,0,X,sometimes_euph
2416,".„Już w gruzach leżą Maurów posadyNaród je dźwiga z żelaza;Bronią się jeszcze twierdze Grenady,Ale w Grenadzie zaraza…”.","Przez tydzień trwały próby, wojny, pojedynki, ale w przeddzień premiery pokłóciliśmy się, do niczego nie doszło.",Długo pan wracał do teatru.,KWJP,do niczego nie doszło,do niczego nie doszło,nothing came of it,-,-,sex,0.0,0,0,0,X,sometimes_euph
2417,"To zapewne zasługa pokolenia obecnych rodziców, które do dziś czuje w sobie hipisowską iskrę i zaszczepiło w młodzieży ideę wolnej miłości.","Przy jednoczesnym pragmatycznym podejściu, dzięki któremu zaledwie 12 na tysiąc holenderskich igraszek kończy się ciążą, co jest jednym z najlepszych rezultatów na świecie.","Oczywiście, twoje szanse na podbój wzrosną, jeżeli propozycję sformułujesz przy użyciu czegoś więcej niż angielskie równoważniki zdań.",KWJP,igraszek,igraszki,frolics,stosunek płciowy,sexual intercourse,sex,1.0,1,1,1,X,always_euph
2418,"W wyniku sterowanej przez Amerykanów wolnorynkowej krucjaty, niebiorącej pod uwagę miejscowych warunków, reformatorzy Jelcyna doprowadzili swe państwo do największej depresji w XX w., która przekształciła Rosję w zonę katastrof.","Redukcja o połowę dochodu narodowego i bezprecedensowa demodernizacja kraju, grabieżcza prywatyzacja stwarzająca fortuny oligarchów kosztem pauperyzacji klasy średniej, spowodowały dramatyczne skrócenie średniej życia i przekształcenie co najmniej połowy ludności Federacji Rosyjskiej w nędzarzy, wegetujących poniżej poziomu życiowego minimum.","Dla Cohena jest „zagadką etyczną”, dlaczego polityka prowadząca do takich rezultatów wciąż uważana bywa za „reformę”, a nawet „historię sukcesu”.",KWJP,pauperyzacji,pauperyzacja,pauperization,zubożenie,impoverishing,money,1.0,0,1,1,X,always_euph
2419,"Spakowałem torbę, złożyłem w portfelu 150 euro, z których nie wydałem ani grosza, bo żyjąc na co dzień w Egipcie, ceny europejskie odbierałem jako kompletny absurd, po czym przeczytałem kilka listów Monteskiusza i zapadłem w sen, z którego wyrwał mnie po kilku minutach esemes od mojego przyjaciela z Polski, Misia.","Rozbudzony, bełkocząc coś pod nosem, kliknąłem w aparacik i odczytałem wiadomość, a właściwie kilka długich opowieści, dotyczących sklepów nabiałowych w Polsce Ludowej.",Misio i ja jesteśmy chorobliwymi kolekcjonerami wspomnień z dzieciństwa i ostatnimi czasy skupialiśmy się na wystrojach sklepów w PRL oraz asortymentu ówczesnych kiosków Ruchu.,KWJP,rozbudzony,rozbudzony,awake,-,-,sex,0.0,0,0,0,X,sometimes_euph
2420,"Już po chwili powtórzyła te słowa, kiedy przyniesiono dania.",Sałata Alicji wyglądała niczym stworzone z kolorowych liści i różowego łososia arcydzieło.,"Sos, spływający po liściach cienką strużką, prezentował się jak wstęga, która kończy się na talerzu, obejmując danie.",KWJP,sałata,sałata,lettuce,-,-,money,0.0,0,0,0,X,sometimes_euph
2421,- Wszyscy chcą sprowadzić auta do końca roku.,"Są tacy, którzy już sobie coś tam upatrzyli na serwisach internetowych i napalili się na konkretny samochód.",W 90 proc. auta okazują się mniej lub bardziej trefne.,KWJP,napalili się,napalić się,to fire oneself up,-,-,sex,0.0,0,0,0,X,sometimes_euph
2422,Na pielęgniarkach nie robi to wrażenia.,Siostra Ela czyta: – Opaska dziana podtrzymująca.,"Nie napiszą „bandaż”, gdzie tam.",KWJP,dziana,dziany,knitted,-,-,money,0.0,0,0,0,X,sometimes_euph
2423,Wobec niezdecydowania i słabości rządów na kontynencie oraz bierności imperium z północy dokonywanie komunistycznych przewrotów wydawało się proste.,"Skoro bogata Kuba z łatwością, a nawet z entuzjazmem, oddała się w ręce zwolenników „postępowej” ideologii, to w innych biedniejszych i dużo gorzej rządzonych krajach zadanie wydawało się łatwiejsze.","Skoro w sprawie leżącej u jej wybrzeży wyspy jankesi wykazali niezdecydowanie i niezręczność, to w odległych o tysiące kilometrów Chile, Urugwaju czy Argentynie, w których partie komunistyczne istniały od lat 20′ XX wieku, warunki do zbudowania sojuszniczych rządów na wzór kubański były nieporównanie lepsze.",KWJP,oddała się,oddać się,to give oneself,-,-,sex,0.0,0,0,0,X,sometimes_euph
2424,– „Dostają co roku darmowe bony na zakup czystych płyt CD i jeszcze narzekają”.,"Słaba polityka i słaba kondycja rynku spowodowały, że powstał ferment wśród artystów.","Utworzyła się w pewnym momencie frakcja, do której przynależał Fabian, kilku znających się jeszcze z pracy w Yellow Moon pracowników oraz dziesięciu wykonawców, którzy nagrywali dla Yellow Moon.",KWJP,kondycji,kondycja,condition,pieniądze do dyspozycji,money at one's disposal,money,1.0,1,1,1,X,sometimes_euph
2425,Jedną z nich na szczęście było uczucie ulgi.,"Słowa Franca uświadomiły mi bowiem, że tamtej nocy między nami naprawdę do niczego nie doszło.",– Nie możesz… oboje nie możemy! – dodałam.,KWJP,do niczego nie doszło,do niczego nie doszło,nothing came of it,nie było stosunku płciowego,there was no sexual intercourse,sex,1.0,1,1,1,X,sometimes_euph
2426,"To właśnie związek może odegrać rolę tego, kto dokona oceny, czy tej bariery wiarygodności politycy przypadkiem nie przekroczyli.","Solidarność operuje przecież nie w wymiarze niestawiającej oporu przestrzeni politycznej, ale realnych interesów wszystkich ciężko pracujących, takich jak kobiety, które są przy kasach supermarketów.","Związek może mieć za sobą siłę tych kobiet, ale też wielu innych pracowników, którzy nie myślą kategoriami gier politycznych, lecz zdają sobie sprawę, po co i dlaczego protestują.",KWJP,są przy kasie,być przy kasie,to be near the counter,-,-,money,0.0,0,0,0,X,sometimes_euph
2427,Siedział w „Szanghaju” i wstydził się potwornie.,"Spał z pacjentką, zdradził żonę, czuł się szaleńczo zakochany i nie mógł myśleć o niczym innym – a jednocześnie trzymał za rękę Iwonę i snuł plany na wakacje.",Grażyna.,KWJP,spał z pacjentką,spać z kimś,to sleep with someone,mieć z kimś stosunek płciowy,to have sexual intercourse with someone,sex,1.0,1,1,1,X,always_euph
2428,Potem była praca w pralni i wynajmowanie łóżka w baraku na dolnym Manhattanie.,"Spały z koleżankami we trzy, tak było taniej i cieplej.","A kiedy zwolniło się miejsce w hotelowej kuchni, to nie burczało jej w brzuchu.",KWJP,spały z koleżankami,spać z kimś,to sleep with someone,-,-,sex,0.0,0,0,0,X,sometimes_euph
2429,"– A Filip wiedział, że tam są trufle?","Sprzedał za bańkę, skoro mógł mieć kilka razy więcej?",– Nie wiedział.,KWJP,bańkę,bańka,bubble,-,-,money,1.0,1,1,1,X,always_euph
2430,Na założenie i utrzymanie rodziny to mię stać.,"Stać mię też na flotę samochodów, pianino i, kto wie, nawet na datki na kościół.",(„Kontynuuj. Go on.” – pomyślał zaciekawiony ksiądz Zybert Malinka).,KWJP,flotę,flota,fleet,-,-,money,0.0,0,0,0,X,sometimes_euph
2431,"Pomalowane przez nią okiennice domu świadczą niezbicie, że miała do sztuk plastycznych dryg; niestety, nie wiadomo jak było z jej pisaniem – z prowadzonego przez nią pamiętnika został tylko popiół, ponieważ wrzuciła go do pieca tuż przed śmiercią.","Stało się to niespodziewanie i ku rozpaczy córki, która chciała odnaleźć w nim to, czego tak bardzo potrzebowała: dowody miłości do własnego dziecka.","To nieprawda, że mama nie potrafiła się nią zajmować.",KWJP,dowody miłości,dowód miłości,proof of love,-,-,sex,0.0,0,0,0,X,sometimes_euph
2432,"Dopóki żyła matka, dni miała unormowane, sprawiedliwie podzielone pomiędzy powinności i przywileje, nagrody i kary.","Stefka raz figlowała z nią, niby z rówieśnicą, to znów wściekała się nie wiadomo o co, biła witką po głowie, plecach, goleniach.","Z każdym miesiącem i rokiem przybywało obowiązków. Obrządzała inwentarz, zamiatała izbę, paliła pod kuchnią, przebierała zadołowane kartofle.",KWJP,figlowała,figlować,to play around,-,-,sex,0.0,0,0,0,X,sometimes_euph
2433,"Adam nalegał, żebyśmy zostali w łóżku, ale byłam na to zbyt podniecona.","Tak, wiem jak to brzmi, ale seksualnie niezbyt się jeszcze dotarliśmy i z jednej strony rozumiałam, że to musi zająć trochę czasu, i nie mogłam się doczekać, jak w końcu będzie wspaniale, z drugiej – no cóż, dłużyły mi się, tylko trochę i tylko czasami, nasze figle.","Normalnie pewnie bym jednak z lenistwa została, z dwojga złego wolę się nudzić, kiedy ktoś mnie całuje i pieści, niż nudzić się tak po prostu, ale to był ten dzień!",KWJP,figle,figle,tricks,mieć stosunek płciowy,to have sexual intercourse,sex,1.0,1,1,1,X,sometimes_euph
2434,"Za muzyką, za atmosferą, ale nade wszystko – za abrazo.","Tango, oparte na bliskim objęciu i intymnym kontakcie, stało się aktywnością wysoce ryzykowną, a co za tym idzie – życie tangowe na całym świecie zamarło.",Być może przeszło do podziemia.,KWJP,intymnym kontakcie,intymny kontakt,intimate contact,-,-,sex,0.0,0,0,0,X,sometimes_euph
2435,"Jest tu też tzw. pozorna figura etymologiczna: „chłopaki, jesteśmy tacy sami”, a zarazem kolejne nawiązanie, tym razem do znanego utworu rockowego.",Te wesołe literackie igraszki mają jednak jeden cel: pokazanie braku tolerancji dla osób transpłciowych.,"Owszem, jesteśmy tacy sami, „choć czasami przesadzamy: Grodzka”.",KWJP,igraszki,igraszki,frolics,-,-,sex,0.0,0,0,0,X,sometimes_euph
2436,"Nie wyobrażam sobie, że musiałbym na kolejny odcinek czekać cały tydzień, że mój kontakt z serialem, wejście w jego świat, zintegrowanie się z jego intrygą miałyby się tak rozciągnąć w czasie.","Telewizor nigdy nie da mi tego, co całodzienne lub całonocne obcowanie z serialem na płytach — nie wiem dlaczego, ale wydaje mi się to zdecydowanie szlachetniejsza forma.","Nie robię tego także dlatego, że nie mam telewizora, i jest to strategia przemyślana. Każdy kolejny sezon serialu oglądam w ciągu dwóch, trzech dni na laptopie, aplikując sobie po kilka odcinków dziennie.",KWJP,obcowanie,obcowanie,interaction,-,-,sex,0.0,0,0,0,X,sometimes_euph
2437,"W Internecie można znaleźć mnóstwo zdjęć artysty, na których widać, że 40-latek pławi się w luksusie.","Teraz wyszło na jaw, że raperowi nie powodziło się aż tak dobrze.","Kilka dni temu 50 Cent złożył do amerykańskiego sądu dokumenty, w których ogłosił bankructwo.",KWJP,powodziło się,powodzić się,to be successful,,"to have sufficient amount of money, so as one does not have to worry about it",money,1.0,1,1,1,X,always_euph
2438,To jest naiwność.,"Też mógłbym sobie powiedzieć, że chcę mieć zakład stolarski, bo znam firmę „Taboret”, której właściciel wpieprzył w nią kupę siana, a i tak nie potrafią zrobić porządnego krzesła, a ja umiem, chociaż nie wiem, co to hebel.","Taki to nasz problem – wydaje się nam, że na wszystkim znamy się najlepiej.",KWJP,siana,siano,hay,pieniądze,money,money,1.0,1,1,1,X,sometimes_euph
2439,"Czym dla fanatyków NBA siedmiomeczowy finał, a dla bolszewików rewolucja, tym dla grzybiarzy – wysyp. To ich karnawał, długo odwlekane spełnienie.","To ich karnawał, długo odwlekane spełnienie.","„Wysyp” może i dla niektórych brzmi jak tytuł ponurej, dystopijnej mikropowieści Żadana bądź Herty Müller, ale w istocie jest słowem zdolnym rozczulić i zelektryzować naród.",KWJP,spełnienie,spełnienie,fullfilment,-,-,sex,0.0,0,0,0,X,sometimes_euph
2440,". „Tulcia jest idealnie grzecznym, inteligentnym dzieckiem, ale nikt i nic jej nie obchodzi, poza jej pasjami; a nadto ma nieżyczliwy stosunek do świata, jak jej ojciec.","To już w takim dziecku tak widać, że będzie przykra w pożyciu.",Anna jest dla mnie idealnym partnerem intelektualnym i pod tym względem wiele jej zawdzięczam.,KWJP,pożyciu,pożycie,living together,-,-,sex,0.0,0,0,0,X,sometimes_euph
2441,Lokalny rynek zmonopolizował.,"To on przeprowadzał Cristiano Ronaldo z Manchesteru do Madrytu; to on wozi po świecie Ricardo Quaresmę, któremu nigdzie nie powodzi się sportowo, ale zatrudnienie znajduje i w Barcelonie, i w mediolańskim Interze, i w londyńskiej Chelsea; to on negocjuje kontrakty José Mourinho czy Luisa Felipe Scolariego.","Obu ostatnich uczynił, jak wyczytamy w prasowych panegirykach spisywanych w wielu europejskich językach, najwyżej opłacanymi trenerami na planecie.",KWJP,powodzi się,powodzić się,to be successful,-,-,money,0.0,0,0,0,X,sometimes_euph
2442,"Powiedział: „Chcecie jeździć, proszę bardzo”, każdy może legalnie kupić i wywieźć sto trzydzieści dolarów.","To się brało zielone, a za złotówki kupowało bilety samolotowe.",Tak właśnie doleciałem do Kabulu.,KWJP,zielone,zielone,green,dolary,dollars,money,1.0,1,0,1,X,sometimes_euph
2443,"Zdarza się też, że emocje mówią „tak”, a ciało i głowa mówią „nie”.","To sytuacja zakochanej dziewczyny proszonej o dowód miłości, którego nie chce dawać.","Może się też tak zdarzyć, że moje ciało i emocje reagują bardzo pozytywnie na jakiś pomysł, ale ja decyduję się nie robić tego ze względu na bezpieczeństwo, moje wartości albo komfort lub dyskomfort innego człowieka, który jest dla mnie ważny.",KWJP,dowód miłości,dowód miłości,proof of love,stosunek płciowy,sexual intercourse,sex,1.0,1,1,1,X,sometimes_euph
2444,"Nagle ta cała moja tęsknota, fantomowa nostalgia za czymś, czego nigdy nie miałem, ta cała historia, dzięki której napisałem książkę – wszystko w jednej chwili stało się nieaktualne jak adres lokalu, w którym można dostać frytburgera.","To wszystko zostało za drzwiami, a ja zostałem z banalnym, obscenicznie kapitalistycznym problemem pierwszego świata – skąd mianowicie wziąć sześć patyków na tego nieszczęsnego AIBO.",-,KWJP,patyków,patyk,stick,tysiąc złotych,thousand złoty,money,1.0,1,1,1,X,always_euph
2445,"Tischner miał świadomość, że w swoich rozważaniach o ludziach z kryjówki, unaoczniających kryzys wspólnotowości we współczesnym świecie, musi wyjść poza krytyczną analizę samej choroby i opisywanie jej objawów.","To, co interesowało go najbardziej, to możliwość wydostania się z kryjówki i ustanowienia przestrzeni obcowania jako międzyludzkiej wspólnoty.",Potrzebny jest do tego inny od krytycznego język i inna od bezstronnej obserwacji postawa.,KWJP,obcowania,obcowanie,interaction,-,-,sex,0.0,0,0,0,X,sometimes_euph
2446,"Myśmy z Sylwkiem jedne, co nie dostali dodatków rolniczych, bo pensje z MON-u bierzemy.",Toteż się na misję zgłosili te kilka groszy d-d-dorobić...,— Z pobliskiego kampu wyszedł czarnoskóry żołnierz.,KWJP,groszy,grosz,penny,pieniądze,money,money,1.0,1,1,1,X,sometimes_euph
2447,Najmłodsza Zosia ma 11 lat.,"Tu pani minister próbuje skończyć temat ""matki Polki robiącej karierę"": — Nienawidzę kobiet, które cały czas ciupciają, że dzieci są najważniejsze w życiu — bo to oczywiste.",Już wolę mówić o zwierzętach.,KWJP,ciupciają,ciupciać,to mindlessly and tiresomely repeat doing something,-,-,sex,0.0,0,0,0,X,sometimes_euph
2448,"Miłość w tej panoramie reprezentowana jest przez prostytutki, a oszałamiające bogactwem dla ówczesnego przybysza z Polski stragany z żywnością to smutny cmentarz setek istnień pozbawionych życia, by nasycić wybujałe ludzkie apetyty.",Tu po raz pierwszy pojawia się w poemacie skojarzenie „głów” melonów z pestkami-zębami ze stosami głów ludzkich oglądanymi na filmach z ekshumacji ofiar wojny.,"Co pozostaje z takiego zwiedzania, dowiadujemy się z drugiej części poematu: Blocco per note, bo wspomnienia z podróży, zwiedzania Rzymu pozostają w bohaterze w postaci „notatnika”, którego chaotyczne zapisy atakują jego pamięć na zmianę: obrazami, fragmentami cytowanych tekstów, głosami spotykanych ludzi.",KWJP,melonów,melon,melon,-,-,money,0.0,0,0,0,X,sometimes_euph
